Word,Count
1,1
2,3
5,1
admin,1
ai,1
and,1
autoincrement,7
between,1
categories,2
categoriescategoryid,2
categoryid,3
check,1
comment,1
confidence,1
create,8
createdat,6
currenttimestamp,8
customer,1
database,1
decimal10,3
default,9
delivered,1
description,2
ecommerce,2
email,1
enumcustomer,1
enumpending,1
float,1
for,4
foreign,9
hashed,1
int,19
items,1
key,16
mapping,1
name,2
not,11
null,11
on,1
order,1
orderid,3
orderitemid,1
orderitems,1
orderproduct,1
orders,2
ordersorderid,1
parentid,2
password,2
pending,1
price,1
priceattime,1
primary,7
processing,1
productid,7
products,2
productsproductid,3
quantity,1
rating,2
recommendation,1
recommendationid,1
recommendations,3
references,9
reviewid,1
reviews,2
role,1
score,2
sectionwise,1
shipped,1
status,1
stockquantity,1
storing,1
structure,1
subcategories,1
table,14
text,3
timestamp,7
totalamount,1
unique,2
update,1
updatedat,1
use,1
userid,7
username,1
userproduct,1
users,2
usersuserid,3
varchar100,2
varchar255,2
varchar50,1
